project-management,"16","127","130"
unit-testing,"2","2","4"
performance,"1","5","9"
requirements,"258","792","1474"
agile,"14","62","76"
api,"1","1","2"
functional-requirements,"7","19","21"
development-process,"11","25","74"
user-story,"18","66","133"
technical-debt,"1","1","1"
product-backlog,"1","1","1"
software,"4","11","6"
requirements-management,"3","5","9"
scrum,"8","43","44"
jira,"3","7","12"
user-experience,"4","19","11"
prototyping,"2","8","4"
product-owner,"1","5","3"
sdlc,"5","15","17"
uml,"12","23","25"
use-case,"15","29","45"
diagrams,"3","6","10"
web-applications,"2","12","21"
mobile,"1","1","2"
specifications,"18","41","70"
users,"2","7","8"
system,"5","8","21"
data,"1","1","1"
release,"1","4","10"
iterative-development,"1","4","10"
batch,"1","1","2"
usability,"2","9","12"
animation,"1","2","3"
documentation,"6","8","10"
engineering,"5","12","43"
iso,"2","5","5"
domain-model,"2","8","3"
systems-analysis,"14","34","32"
large-scale-scrum,"1","1","4"
bdd,"2","3","2"
non-functional,"1","4","1"
design,"25","97","177"
domain-driven-design,"1","6","2"
project,"4","20","21"
object-oriented-design,"2","4","13"
modeling,"2","9","5"
tdd,"1","3","4"
quality-attributes,"4","10","41"
programming-practices,"4","22","147"
rewrite,"2","12","21"
quality,"2","7","11"
startup,"2","6","6"
legacy-code,"1","7","8"
api-design,"1","1","2"
kanban,"2","8","10"
web-services,"1","2","4"
latency,"1","2","4"
ethics,"1","9","3"
books,"1","3","6"
ocl,"1","1","1"
management,"4","20","38"
communication,"2","37","45"
architecture,"3","11","3"
planning,"2","9","18"
configuration,"1","2","3"
code-complete,"1","1","1"
government,"1","8","24"
estimation,"3","6","11"
acceptance-testing,"4","14","22"
methodology,"3","17","10"
project-planning,"2","16","5"
qa,"1","2","1"
customer-relations,"4","22","57"
maintenance,"1","9","8"
c++,"4","6","9"
teamwork,"4","10","40"
client-relations,"4","9","24"
business-logic,"1","1","4"
pair-programming,"1","2","14"
security,"2","5","8"
login,"1","2","1"
theory,"1","1","2"
standards,"2","3","19"
rational-unified-process,"1","1","1"
feature-requests,"1","8","21"
testing,"8","36","22"
ui,"1","2","3"
freelancing,"2","3","23"
furps+,"1","0","2"
annotations,"1","2","1"
embedded-systems,"1","4","6"
decisions,"2","12","17"
iphone,"6","13","15"
frameworks,"2","4","6"
ios,"4","6","4"
functional-programming,"1","2","8"
haskell,"1","2","8"
logic,"1","2","8"
formal-methods,"1","8","4"
outsourcing,"2","9","31"
gui-design,"1","1","3"
terminology,"2","4","2"
functions,"1","8","16"
features,"1","8","16"
coding-style,"1","1","3"
implementations,"1","1","3"
development-methodologies,"1","2","20"
team-foundation-server,"1","2","1"
hardware,"7","15","39"
lean,"1","2","3"
srs,"2","3","4"
change,"1","2","4"
web-development,"4","12","11"
browser-compatibility,"1","2","1"
code-quality,"1","3","3"
modelling,"1","3","3"
distributed-development,"1","1","2"
math,"1","3","3"
prediction,"1","2","3"
bug,"1","3","3"
verification,"1","2","1"
rules-and-constraints,"1","3","1"
experience,"1","8","7"
collaboration,"2","7","22"
asp.net-mvc,"1","4","8"
sql-server,"1","2","1"
windows,"5","10","25"
waterfall,"2","13","14"
technical-support,"1","6","26"
refactoring,"1","3","7"
application-design,"1","3","7"
learning,"1","3","5"
budget,"1","4","3"
client,"1","2","2"
wpf,"1","4","5"
metrics,"2","5","12"
measurement,"1","2","5"
cmmi,"1","2","5"
contract,"1","3","6"
tools,"2","7","19"
statistics,"1","2","7"
workflows,"1","5","5"
validation,"5","13","11"
productivity,"2","5","22"
business,"4","28","91"
cucumber,"1","2","1"
marketing,"1","4","2"
wcf,"1","1","1"
deadlines,"1","5","3"
case-tools,"1","5","7"
organization,"1","3","4"
changes,"1","4","6"
issue-tracking,"1","10","23"
minimal-requirements,"1","8","12"
wiki,"1","4","3"
meetings,"1","3","2"
legacy,"1","1","3"
open-source,"1","1","3"
pricing,"1","11","7"
python,"6","11","198"
dependencies,"2","5","160"
python-import,"1","4","159"
amazon-sagemaker,"1","0","1"
system-requirements,"5","13","265"
language-agnostic,"3","24","26"
stl,"1","0","1"
containers,"1","0","1"
c++-standard-library,"1","0","1"
c#,"4","9","58"
.net,"3","8","56"
c#-7.0,"1","2","45"
classification,"1","2","1"
python-3.x,"1","1","1"
google-app-engine,"1","1","1"
google-cloud-platform,"1","1","1"
pip,"4","4","7"
ibm-doors,"2","4","3"
php,"10","17","20"
pcntl,"1","4","1"
sharepoint,"1","1","2"
tfs,"11","17","32"
compilation,"1","2","4"
rust,"1","2","4"
ooad,"1","1","1"
c++17,"1","1","1"
variant,"1","1","1"
proxy,"1","1","3"
conda,"1","1","3"
ibm-rational,"1","2","2"
swift,"1","1","3"
protocols,"1","1","3"
conflict,"1","1","3"
dependency-inversion,"1","1","3"
scikit-image,"1","1","2"
install,"1","4","49"
packages,"1","4","49"
nltk,"1","4","49"
corpus,"1","4","49"
vba,"1","4","4"
word-vba,"1","4","4"
scalable,"1","2","4"
extensible,"1","2","4"
django,"1","1","1"
python-2.7,"1","2","1"
composer-php,"2","2","3"
composer.json,"1","1","1"
business-rules,"1","2","7"
user-stories,"9","39","50"
signalr,"1","1","1"
summary,"1","26","28"
evaluation,"2","8","8"
confluence,"1","1","7"
symfony,"4","5","7"
matlab,"1","2","1"
simulink,"1","2","1"
powershell,"1","1","1"
teamcity,"1","1","1"
javascript,"3","5","10"
dom-events,"1","1","3"
event-propagation,"1","1","3"
event-capturing,"1","1","3"
software-quality,"1","3","3"
b-method,"1","3","3"
machine-learning,"1","1","5"
artificial-intelligence,"2","11","9"
safety-critical,"1","1","5"
controller,"1","1","2"
silverstripe,"1","1","2"
json,"2","2","3"
data-structures,"1","1","2"
tfs-workitem,"2","2","4"
traceability,"3","4","9"
rhapsody,"1","0","1"
sysml,"2","2","2"
web-hosting,"1","2","2"
cloud-hosting,"1","2","2"
enterprise-architect,"2","2","2"
setuptools,"1","1","31"
xml,"2","2","6"
xsd,"3","3","8"
binary,"2","3","3"
android,"3","4","6"
manifest,"1","2","1"
get,"1","1","1"
query-string,"1","1","1"
libcurl,"1","1","1"
node.js,"2","4","3"
express,"2","3","2"
mean-stack,"1","2","1"
atomic,"1","1","1"
atomicity,"1","1","1"
convention,"1","1","1"
analysis,"3","5","4"
routing,"2","3","3"
default,"1","0","1"
phpunit,"1","2","3"
version,"2","3","4"
redmine,"1","1","1"
children,"1","1","1"
user-interface,"1","5","5"
java,"11","25","119"
mysql,"1","0","1"
apache,"1","0","1"
laravel,"1","0","1"
laravel-5,"1","0","1"
kivy,"1","1","1"
buildozer,"1","1","1"
angularjs,"3","5","6"
meteor,"2","4","7"
npm,"1","3","4"
peer,"1","3","4"
tfs2015,"1","1","1"
tfs-process-template,"1","1","1"
trac,"1","2","7"
ruby-on-rails,"3","3","5"
server,"1","1","2"
templates,"1","1","2"
ms-word,"3","6","6"
input,"1","1","4"
output,"1","1","4"
azure-devops,"1","2","4"
push,"1","2","2"
long-polling,"1","2","2"
include,"2","4","3"
extend,"1","1","1"
extreme-programming,"2","12","11"
qt,"1","2","5"
software-design,"1","1","2"
automated-tests,"1","1","1"
compiled,"1","2","1"
installation,"5","4","10"
upgrade,"1","0","1"
homebrew,"1","0","1"
backbone.js,"1","1","1"
interface,"1","12","51"
override,"1","12","51"
equals,"1","12","51"
macos,"3","4","9"
java-8,"1","1","6"
high-availability,"1","1","6"
concurrency,"1","2","1"
passwords,"2","2","3"
visual-studio-2013,"1","2","1"
visual-studio-cordova,"1","2","1"
real-time,"1","3","1"
prestashop,"1","1","1"
prestashop-1.5,"1","1","1"
resources,"1","3","2"
module,"1","1","1"
tfs2010,"2","3","4"
risk-management,"1","2","3"
msf,"1","2","3"
cakephp,"1","0","1"
css,"1","8","7"
jquery,"1","7","7"
currency,"1","7","7"
blackberry,"1","1","1"
b2b,"1","3","6"
deployment,"2","4","11"
configuration-management,"1","2","1"
salt-stack,"1","2","1"
scope,"3","18","16"
scope-creep,"2","25","26"
spell-checking,"1","2","6"
functional-testing,"1","4","4"
doctrine-orm,"1","1","1"
package,"1","1","1"
build-dependencies,"1","1","1"
catalog,"1","3","1"
string,"1","4","3"
boolean,"1","4","3"
scalability,"2","8","5"
administration,"1","2","2"
azure-sql-database,"1","2","2"
facebook,"1","1","2"
facebook-app-center,"1","1","2"
atdd,"1","1","1"
integration,"1","2","2"
mks,"1","2","2"
mks-integrity,"1","2","2"
constructor,"1","1","1"
behavior,"1","1","1"
product-management,"2","12","23"
backlog,"1","9","22"
medical,"1","4","6"
browser,"1","1","3"
compatibility,"1","1","3"
installer,"1","0","1"
distribution,"1","0","1"
reflection,"1","3","2"
programming-languages,"1","3","2"
tracking,"2","3","2"
doxygen,"1","1","1"
console,"1","1","1"
operating-system,"2","3","5"
visual-c++-2010,"1","1","1"
condition,"1","2","2"
edi,"1","2","2"
x12,"1","2","2"
networking,"1","1","1"
process-management,"1","3","1"
twitter,"1","0","1"
object,"1","3","1"
orientation,"1","3","1"
position,"1","1","1"
servicestack,"1","1","1"
datacontractserializer,"1","1","1"
memory,"1","6","1"
rpm,"1","1","1"
specfiles,"1","1","1"
objective-c,"2","4","3"
xcode,"2","4","3"
opengl,"1","5","3"
opengl-3,"1","5","3"
version-control,"2","4","7"
change-management,"1","7","8"
oop,"1","2","1"
zend-framework,"2","3","5"
camera,"1","1","1"
plist,"1","1","1"
report,"2","2","7"
installshield,"1","1","1"
linq,"1","1","2"
loops,"1","1","2"
parallel-processing,"1","1","2"
android-c2dm,"1","1","2"
backend,"1","1","2"
urbanairship.com,"1","1","2"
agile-project-management,"1","1","1"
c,"2","9","11"
embedded,"2","9","10"
build-automation,"1","2","1"
msdeploy,"1","2","1"
automated-deploy,"1","2","1"
app-store,"3","6","4"
formal-verification,"1","8","4"
vision,"1","5","2"
eclipse,"1","1","14"
junit,"1","1","3"
nunit,"1","3","4"
scala,"1","2","3"
parameterization,"1","2","3"
visual-studio-2010,"2","9","6"
windows-xp,"1","7","1"
attributes,"1","1","2"
database-design,"2","7","2"
hyperlink,"2","3","9"
wxwidgets,"1","3","2"
porting,"1","3","2"
capture,"1","1","2"
ios4,"1","1","1"
vsto,"1","2","2"
outlook-addin,"1","2","2"
licensing,"1","1","3"
windows-server-2008,"1","1","3"
appfabric,"1","1","3"
email,"1","6","3"
username,"1","6","3"
cardinality,"2","4","2"
size,"1","2","2"
algorithm,"1","9","2"
scientific-computing,"1","9","2"
constants,"1","1","1"
bundle,"1","1","1"
bundler,"1","1","1"
3g,"1","2","2"
search,"1","2","2"
lucene.net,"1","2","2"
dtsearch,"1","2","2"
history,"1","2","1"
models,"1","1","4"
profiling,"1","5","9"
database,"1","2","3"
metadata,"1","2","3"
data-warehouse,"1","2","3"
real-time-systems,"1","1","1"
perl,"1","2","3"
projects,"1","2","3"
function,"1","3","2"
erd,"1","3","1"
model,"1","1","1"
ubuntu,"1","2","2"
arm,"1","2","2"
code-generation,"1","6","2"
dns,"1","6","2"
dsl,"1","6","2"
build,"1","2","4"
target,"1","2","4"
hci,"1","6","11"
process,"1","6","10"
multiple-monitors,"1","4","4"
quantify,"1","6","3"
cross-browser,"1","15","11"
nomenclature,"1","3","1"
jboss,"1","1","1"
iis,"1","4","8"
accessibility,"1","3","1"
printing,"1","11","2"
review,"1","1","2"
system-administration,"1","9","8"
projects-and-solutions,"1","2","1"
